CITY-STATE-COUNTRY
Charlotte,North Carolina,United States
Raleigh,North Carolina,United States
Greensboro,North Carolina,United States
Durham,North Carolina,United States
Winston-Salem,North Carolina,United States	
Fayetteville,North Carolina,United States	
Cary,North Carolina,United States
Wilmington,North Carolina,United States	
High Point,North Carolina,United States	
Concord,North Carolina,United States	
Asheville,North Carolina,United States	
Greenville,North Carolina,United States	
Gastonia,North Carolina,United States	
Jacksonville,North Carolina,United States	
Chapel Hill,North Carolina,United States	
Huntersville,North Carolina,United States	
Apex,North Carolina,United States	
Burlington,North Carolina,United States	
Rocky Mount,North Carolina,United States	
Kannapolis,North Carolina,United States	
Mooresville,North Carolina,United States	
Wilson,North Carolina,United States	
Wake Forest,North Carolina,United States	
Hickory,North Carolina,United States	
Holly Springs,North Carolina,United States	
Indian Trail,North Carolina,United States	
Salisbury,North Carolina,United States	
Monroe,North Carolina,United States	
Goldsboro,North Carolina,United States	
Fuquay-Varina,North Carolina,United States	
New Bern,North Carolina,United States
Cornelius,North Carolina,United States
Garner,North Carolina,United States
Sanford,North Carolina,United States
Matthews,North Carolina,United States
Morrisville,North Carolina,United States
Statesville,North Carolina,United States
Thomasville,North Carolina,United States
Asheboro,North Carolina,United States
Kernersville,North Carolina,United States
Mint Hill,North Carolina,United States
Clayton,North Carolina,United States
Leland,North Carolina,United States
Shelby,North Carolina,United States
Carrboro,North Carolina,United States
Clemmons,North Carolina,United States
Kinston,North Carolina,United States
Waxhaw,North Carolina,United States
Lexington,North Carolina,United States
Lumberton,North Carolina,United States



